,Unnamed: 0,bookID,title,authors,average_rating,isbn,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
2149,2149,7733,Gulliver's Travels,Jonathan Swift/Robert DeMaria Jr.,3.57,141439491,eng,306,194738,3485,30-01-2003 00:00,Penguin
2150,2150,7734,Gulliver's Travels,Jonathan Swift/Claude Julien Rawson/Ian Higgins,3.57,192805347,eng,422,258,21,10-03-2005 00:00,Oxford University Press
2151,2151,7737,Gulliver's Travels,Jonathan Swift/David Case,3.57,1400102723,eng,0,4,1,01-10-2006 00:00,Tantor Media
2152,2152,7739,Gulliver's Travels,Gill Harvey/Jonathan Swift,3.35,794503292,eng,64,13,3,29-01-2008 00:00,Usborne Books
2153,2153,7740,Gulliver's Travels,Martin Woodside/Jamel Akib/Arthur Pober/Jonathan Swift,3.97,1402726627,eng,160,933,26,28-03-2006 00:00,Sterling
2154,2154,7741,Gulliver's Travels,Jonathan Swift/Robert Hardy,3.57,1844560341,eng,3,8,0,01-01-2001 00:00,Hodder Audio
2155,2155,7742,Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03,60838744,eng,704,40049,2391,02-08-2005 00:00,William Morrow Paperbacks
2156,2156,7747,Fear and Loathing in Las Vegas,Hunter S. Thompson/Ralph Steadman,4.08,7204493,eng,230,3472,251,04-04-2005 00:00,Harper Perennial
2157,2157,7748,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.12,446698229,eng,481,17227,662,01-10-2006 00:00,Warner Books (NY)
2158,2158,7749,Fear and Loathing in Las Vegas,Hunter S. Thompson/Ralph Steadman,4.08,446313939,eng,208,274,28,01-12-1982 00:00,Warner Books
2159,2159,7752,Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist  1968-1976,Hunter S. Thompson,4.08,684873168,eng,784,3787,84,04-12-2001 00:00,Simon  Schuster
2160,2160,7757,Cliffsnotes on Beckett's Waiting for Godot and Other Plays,James Lamar Roberts/Jeffrey Fisher,3.67,822013541,eng,72,3,0,28-07-1980 00:00,Cliffs Notes
2161,2161,7763,The Joy Luck Club,Amy Tan,3.92,143038095,eng,288,565524,7255,21-09-2006 00:00,Penguin Books
2162,2162,7769,Dr. Seuss's ABC,Dr. Seuss,4.08,679882812,eng,21,27139,731,26-11-1996 00:00,Random House
2163,2163,7772,Dr. Seuss's Sleep Book,Dr. Seuss,4.17,394800915,eng,58,8967,351,24-07-2012 00:00,New York: Random House
2164,2164,7775,Happy Birthday to You!,Dr. Seuss,4.13,394800761,eng,64,4344,262,12-08-1959 00:00,Random House Books for Young Readers
2165,2165,7777,McElligot's Pool,Dr. Seuss,4.06,394800834,eng,64,4560,253,12-09-1947 00:00,Random House Books for Young Readers
2166,2166,7778,The Cat in the Hat,Dr. Seuss,4.17,679891110,eng,61,289,4,11-11-1997 00:00,Random House Books for Young Readers
2167,2167,7779,Horton Hears a Who!,Dr. Seuss,4.18,679800034,eng,64,89920,1207,10-10-1990 00:00,Random House Books for Young Readers
2168,2168,7781,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,4.04,039484484X,eng,56,13097,324,09-12-1989 00:00,Random House Books for Young Readers
2169,2169,7783,Oh Say Can You Say?,Dr. Seuss,4.01,7175221,eng,36,5868,162,01-11-2005 00:00,London : Collins  2004.
2170,2170,7784,The Lorax,Dr. Seuss,4.35,679889108,eng,72,260054,3532,24-02-1998 00:00,Random House Books for Young Readers
2173,2173,7788,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss/Various,4.42,807218731,eng,61,50844,160,14-10-2003 00:00,Listening Library (Audio)
2174,2174,7789,Daisy-Head Mayzie,Dr. Seuss,3.87,679867120,eng,56,3196,137,11-01-1995 00:00,Random House Books for Young Readers
2175,2175,7791,Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,Richard H. Minear/Art Spiegelman/Dr. Seuss,4.16,1565847040,eng,272,1282,102,01-09-2001 00:00,The New Press
2176,2176,7793,Dr. Seuss's ABC (Book & CD),Dr. Seuss,4.08,375834966,eng,64,8,0,05-01-2005 00:00,Random House Books for Young Readers
2177,2177,7796,Cattus Petasatus: The Cat in the Hat in Latin,Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg,4.17,865164711,lat,75,63,9,06-05-2005 00:00,Bolchazy-Carducci Publishers
2179,2179,7803,The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwoods,Julia Butterfly Hill,3.95,62516590,eng,262,1844,220,03-04-2001 00:00,HarperOne
2180,2180,7805,Pale Fire,Vladimir Nabokov,4.15,141185260,eng,246,32544,1610,31-08-2000 00:00,Penguin Books Ltd
2181,2181,7806,Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.22,691089574,eng,320,172,22,04-11-2001 00:00,Princeton University Press
2183,2183,7811,A Friend of the Earth,T. Coraghessan Boyle,3.67,747553467,eng,275,30,3,08-10-2001 00:00,Bloomsbury Paperbacks
2184,2184,7815,The Year of Magical Thinking,Joan Didion,3.89,1400078431,eng,227,120758,8711,13-02-2007 00:00,Vintage
2185,2185,7821,Seduction and Betrayal: Women and Literature,Elizabeth Hardwick/Joan Didion,4.01,940322781,eng,224,269,26,31-08-2001 00:00,NYRB Classics
2186,2186,7830,After Henry,Joan Didion,3.83,679745394,eng,320,1205,100,27-04-1993 00:00,Vintage
2188,2188,7841,Another Day in Paradise: The Fourth Sherman's Lagoon Collection,Jim Toomey,4.35,740720120,eng,130,68,1,06-09-2001 00:00,Andrews McMeel Publishing
2189,2189,7842,Another Day in Cubicle Paradise,Scott Adams,4.01,740721941,eng,128,416,11,01-03-2002 00:00,Andrews McMeel Publishing
2190,2190,7845,Moby Dick,Herman Melville,3.5,140620621,eng,536,701,78,01-01-1994 00:00,Penguin Books/Penguin Popular Classics
2191,2191,7847,Moby-Dick,Herman Melville/Nathaniel Philbrick,3.5,142000086,en-US,625,1022,165,01-09-2001 00:00,Penguin Books
2192,2192,7848,Moby-Dick; or  The Whale,Herman Melville/Rockwell Kent/Elizabeth Hardwick,3.5,067978327X,eng,896,557,87,10-10-2000 00:00,Modern Library
2193,2193,7849,Moby Dick  or The Whale,Herman Melville/Harrison Hayford/Hershel Parker,3.5,810119110,en-US,573,106,19,19-09-2001 00:00,Northwestern University Press
2194,2194,7850,The Girl in the Flammable Skirt,Aimee Bender,3.88,385492162,eng,192,6591,661,17-08-1999 00:00,Anchor
2195,2195,7855,Planet of Slums,Mike  Davis,3.92,1844670228,eng,228,1727,173,01-03-2006 00:00,Verso
2197,2197,7861,No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border,Justin Akers ChacÌ_n/Mike  Davis,4.08,1931859353,eng,240,237,22,01-04-2006 00:00,Haymarket Books
2198,2198,7865,Days Between Stations,Steve Erickson,4.0,743265696,eng,256,709,49,09-02-2005 00:00,Simon & Schuster
2199,2199,7869,The Bourne Identity (Jason Bourne  #1),Robert Ludlum,4.02,752864327,eng,566,368195,3556,24-03-2005 00:00,Orion
2200,2200,7881,Little Plum,Rumer Godden/Jean Primrose,4.22,140307370,eng,144,11,1,01-08-1987 00:00,Puffin Books
2201,2201,7890,Betsy's Wedding (Betsy-Tacy  #10),Maud Hart Lovelace/Vera Neville,4.31,64405443,en-US,260,4169,155,31-03-1996 00:00,HarperTrophy
2202,2202,7891,Betsy and the Great World (Betsy-Tacy  #9),Maud Hart Lovelace/Vera Neville,4.14,64405451,eng,321,4747,148,31-03-1996 00:00,HarperTrophy
2203,2203,7894,Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3),Maud Hart Lovelace/Lois Lenski,4.18,64400999,en-US,192,7809,186,05-04-2000 00:00,HarperCollins
2204,2204,7895,Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series,Julie A. Schrader,4.29,971316821,eng,325,58,8,31-12-2002 00:00,Minnesota Heritage Publishing
2205,2205,7896,Early Candlelight,Maud Hart Lovelace/Rhoda R. Gilman,3.69,873512693,eng,342,184,30,15-08-1992 00:00,Minnesota Historical Society Press
2206,2206,7898,Betsy and Joe (Betsy-Tacy  #8),Maud Hart Lovelace/Vera Neville,4.31,006440546X,eng,336,4586,119,31-03-1995 00:00,HarperTrophy
2207,2207,7901,Betsy Was a Junior (Betsy-Tacy  #7),Maud Hart Lovelace/Vera Neville,4.17,64405478,en-US,320,4839,126,31-03-1995 00:00,HarperTrophy
2208,2208,7905,Betsy and Tacy Go Downtown (Betsy-Tacy  #4),Maud Hart Lovelace/Lois Lenski,4.21,690134495,eng,180,70,7,01-01-1943 00:00,Thomas Y. Crowell Company
2209,2209,7906,Emily of Deep Valley (Deep Valley  #2),Maud Hart Lovelace/Vera Neville,4.23,64408582,eng,304,2722,151,31-12-2000 00:00,HarperTrophy
2210,2210,7909,Betsy-Tacy (Betsy-Tacy  #1),Maud Hart Lovelace/Lois Lenski,4.07,64400964,en-US,144,20976,935,14-08-2007 00:00,HarperCollins
2211,2211,7911,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,4.03,1416916172,eng,352,22023,395,01-06-2006 00:00,Aladdin
2212,2212,7914,Five Little Peppers at School,Margaret Sidney/Barbara Cooney,3.92,044040035X,eng,320,243,7,01-01-1988 00:00,Yearling
2213,2213,7924,All-of-a-Kind Family Uptown (All-of-a-Kind-Family  #4),Sydney Taylor,4.28,929093097,eng,160,5702,65,01-04-2001 00:00,Taylor Productions Ltd
2214,2214,7926,All-of-a-Kind Family (All-of-a-Kind-Family  #1),Sydney Taylor,4.22,385732953,eng,188,21620,836,23-08-2005 00:00,Delacorte Press
2215,2215,7938,Winter Cottage,Carol Ryrie Brink,4.15,20419708,eng,178,182,37,01-06-1974 00:00,Atheneum
2216,2216,7946,Eddie's Valuable Property,Carolyn Haywood,4.09,688320147,eng,192,43,3,01-03-1975 00:00,William Morrow & Company
2217,2217,7955,Empire (Empire  #1),Orson Scott Card,3.43,765316110,en-US,352,8577,756,28-11-2006 00:00,Tor Books
2218,2218,7956,Treason,Orson Scott Card,3.9,765309041,eng,288,6234,337,24-01-2006 00:00,Orb Books
2219,2219,7957,First Meetings in Ender's Universe (Ender's Saga  #0.5),Orson Scott Card,3.84,765347989,eng,212,10475,496,01-09-2004 00:00,Tor
2220,2220,7958,Sarah (Women of Genesis  #1),Orson Scott Card,3.88,765341174,eng,341,9828,1004,17-09-2001 00:00,Forge
2221,2221,7959,Rachel & Leah (Women of Genesis  #3),Orson Scott Card,3.85,765341298,en-GB,368,5618,514,29-11-2005 00:00,Forge Books
2222,2222,7960,How to Write Science Fiction and Fantasy,Orson Scott Card,3.9,898794161,eng,140,475,66,15-07-1990 00:00,F & W Publications Inc.
2223,2223,7961,Saints,Orson Scott Card,3.54,312876068,eng,608,2436,268,14-03-2001 00:00,Forge Books
2224,2224,7965,Homebody,Orson Scott Card,3.39,61093998,eng,430,2707,167,25-01-1999 00:00,HarperTorch
2225,2225,7966,Rebekah (Women of Genesis  #2),Orson Scott Card,3.84,076534128X,eng,416,7487,617,27-03-2012 00:00,Forge
2226,2226,7967,Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,4.07,812550757,eng,382,190379,6637,15-08-1994 00:00,Tor Books
2227,2227,7968,Red Prophet (Tales of Alvin Maker  #2),Orson Scott Card,3.79,812524268,en-US,311,18228,427,15-07-1992 00:00,Tor Fantasy
2228,2228,7971,The Call of Earth (Homecoming  #2),Orson Scott Card,3.58,812532619,eng,352,10268,164,15-01-1994 00:00,Tor Books
2229,2229,7972,Shadow of the Hegemon (Shadow  #2),Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers,3.95,1593974809,eng,13,109,19,05-09-2006 00:00,Macmillan Audio
2230,2230,7973,Enchantment,Orson Scott Card,3.9,345482409,eng,422,23534,2199,31-05-2005 00:00,Del Rey
2231,2231,7974,Voyage of Slaves (Flying Dutchman  #3),Brian Jacques/David Elliot,4.13,399245499,en-US,356,2288,69,14-09-2006 00:00,Philomel Books
2232,2232,7975,High Rhulain (Redwall  #18),Brian Jacques/David Elliot,4.12,399242082,eng,341,134,11,22-09-2005 00:00,Philomel Books
2233,2233,7983,Salamandastron (Redwall  #5),Brian Jacques/Gary Chalk,4.07,142501522,en-US,400,26237,240,15-09-2003 00:00,Firebird
2234,2234,7987,The Legend of Luke (Redwall  #12),Brian Jacques,4.0,142501093,eng,374,14205,144,02-06-2005 00:00,Firebird
2235,2235,7996,Redwall (Redwall  #1),Brian Jacques,4.12,1862301387,eng,352,88167,2604,04-09-2006 00:00,Red Fox
2236,2236,7997,Castaways of the Flying Dutchman (Flying Dutchman  #1),Brian Jacques/Ian Schoenherr,3.98,142501182,eng,356,8025,261,31-03-2003 00:00,Firebird
2237,2237,7998,Outcast of Redwall (Redwall  #8),Brian Jacques,3.92,142401420,en-US,368,17597,188,24-05-2004 00:00,Firebird
2238,2238,8001,Triss (Redwall  #15),Brian Jacques/Allan Curless,3.99,142402486,eng,389,10830,119,09-09-2004 00:00,Firebird
2239,2239,8004,A Redwall Winter's Tale,Brian Jacques/Christopher Denise,4.13,142401986,en-US,72,2353,43,21-10-2004 00:00,Puffin
2240,2240,8012,Mr. Impossible,Roger Hargreaves,3.95,084317420X,eng,32,614,29,24-08-1998 00:00,Price Stern Sloan
2241,2241,8013,Mr. Christmas,Roger Hargreaves/Adam Hargreaves,3.65,843121106,eng,40,202,17,14-09-2006 00:00,Price Stern Sloan
2242,2242,8014,Mr. Bump,Roger Hargreaves,4.03,843178388,eng,32,1701,74,23-03-1998 00:00,Price Stern Sloan
2243,2243,8019,Little Miss Birthday,Roger Hargreaves/Adam Hargreaves,4.02,843121319,eng,32,207,11,11-01-2007 00:00,Price Stern Sloan
2244,2244,8021,Little Miss Lucky,Roger Hargreaves,3.82,843175044,eng,32,291,21,22-11-1999 00:00,Price Stern Sloan
2245,2245,8023,Mr. Happy,Roger Hargreaves,3.98,1405211997,eng,36,1,0,30-04-2004 00:00,Egmont Children's Books
2246,2246,8032,Mr. Jelly and the Pirates,Roger Hargreaves/Adam Hargreaves,3.82,084312492X,eng,32,87,12,10-05-2007 00:00,Price Stern Sloan
2247,2247,8044,Grandma Baa (Easy Peasy People),Roger Hargreaves/Gray Jolliffe,4.12,679801243,eng,32,6,0,14-10-1989 00:00,Random House for Young Readers
2248,2248,8048,Bill Buzz,Roger Hargreaves/Gray Jolliffe,4.67,679801154,eng,32,2,0,14-10-1989 00:00,Random House for Young Readers
2249,2249,8051,Gary Grizzle,Roger Hargreaves/Gray Jolliffe,4.33,679801251,eng,32,3,0,14-10-1989 00:00,Random House for Young Readers
2250,2250,8053,Charlie Oink,Roger Hargreaves/Gray Jolliffe,4.33,067980126X,eng,32,3,0,14-10-1989 00:00,Random House  for Young Readers
2251,2251,8060,Madame Je-Sais-Tout,Roger Hargreaves,3.77,2010189140,fre,36,1,0,31-05-1997 00:00,Hachette
2252,2252,8062,The Poppy Seed Cakes,Margery Clark/Maud Petersham/Miska Petersham,4.37,385074573,eng,158,57,9,01-10-1964 00:00,Doubleday Books
2253,2253,8073,Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),Judi Barrett/Ron Barrett,4.16,689707495,eng,32,124141,2038,01-04-1982 00:00,Atheneum Books for Young Readers
2254,2254,8074,The Wind Thief,Judi Barrett/Diane Dawson Hearn,3.8,689305648,eng,32,4,1,01-01-1977 00:00,Atheneum Books
2255,2255,8077,Animales No Se Visten  Los (Animals Should Definitely Not Wear Clothing) with CD,Judi Barrett/Ron Barrett,4.11,1595191356,eng,32,0,0,30-10-1991 00:00,Live Oak Media
2256,2256,8084,Beauty,Robin McKinley,4.05,60753102,eng,325,3258,478,26-07-2005 00:00,HarperCollins
2257,2257,8086,A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,4.39,142302333,eng,1008,527,12,16-09-2002 00:00,Puffin
2258,2258,8087,Deerskin,Robin McKinley,3.89,441012396,en-US,384,17485,1021,01-05-2005 00:00,Ace Books
2259,2259,8088,Sunshine,Robin McKinley,3.85,515138819,eng,405,31047,3519,30-11-2004 00:00,Jove
2260,2260,8089,Rose Daughter,Robin McKinley,3.77,441005837,eng,304,17168,997,01-12-1998 00:00,Ace
2261,2261,8091,The Door in the Hedge,Robin McKinley,3.68,698119606,eng,224,7941,419,13-10-2003 00:00,Firebird
2262,2262,8093,The Stone Fey,Robin McKinley/John Clapp,3.36,152000178,eng,64,1036,78,01-09-1998 00:00,HMH Books for Young Readers
2263,2263,8127,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,4.25,451528824,eng,320,625759,13883,06-05-2003 00:00,Signet Book
2264,2264,8134,Anne of Green Gables,L.M. Montgomery/Barbara Caruso,4.25,1419326961,en-US,9,69,17,01-01-2005 00:00,Recorded Books  Inc.
2265,2265,8137,The Road to Yesterday (Anne of Green Gables  #9),L.M. Montgomery,3.84,553560689,eng,403,3106,115,01-02-1993 00:00,Bantam Books
2266,2266,8141,Anne of Avonlea,L.M. Montgomery/Clare Sieffert,4.23,448400634,eng,315,85,12,01-11-1990 00:00,Grosset & Dunlap
2267,2267,8146,The Stories of Vladimir Nabokov,Vladimir Nabokov,4.3,679729976,eng,685,5889,183,09-12-1996 00:00,Vintage
2268,2268,8147,The Gift,Vladimir Nabokov/Michael Scammell/Dmitri Nabokov,4.0,141185872,eng,406,2334,109,05-04-2001 00:00,Penguin Books
2269,2269,8148,Lectures on Literature,Vladimir Nabokov/Fredson Bowers/John Updike,4.34,156027755,eng,385,1606,83,16-12-2002 00:00,Mariner Books
2271,2271,8150,The American Years,Brian Boyd,4.33,691024715,eng,800,256,22,31-01-1993 00:00,Princeton University Press
2272,2272,8151,Laughter in the Dark,Vladimir Nabokov,3.97,811216748,eng,292,8717,477,17-09-2006 00:00,New Directions
2273,2273,8153,The Luzhin Defense,Vladimir Nabokov/Michael Scammell,3.95,679727221,eng,256,7305,277,11-08-1990 00:00,Vintage
2274,2274,8155,A Woman of Substance (Emma Harte Saga #1),Barbara Taylor Bradford,4.18,031235326X,eng,928,34366,573,01-12-2005 00:00,Griffin
2275,2275,8162,The Ravenscar Dynasty (Ravenscar  #1),Barbara Taylor Bradford,3.63,312354606,en-US,484,1287,104,26-12-2006 00:00,St. Martin's Press
2276,2276,8174,Dark Birthright,Jeanne Treat/Jane Starr Weils,3.63,097216748X,eng,429,132,27,01-10-2006 00:00,Treat Enterprises
2277,2277,8178,Birthright (Diablo: The Sin War  #1),Richard A. Knaak,3.74,743471229,eng,326,1246,69,01-10-2006 00:00,Pocket Star
2278,2278,8196,Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,William   Anderson/Laura Ingalls Wilder,4.3,60278420,eng,80,746,48,13-10-1998 00:00,HarperCollins
2279,2279,8197,Writings to Young Women from Laura Ingalls Wilder: On Wisdom and Virtues (Writings to Young Women on Laura Ingalls Wilder #1),Laura Ingalls Wilder/Stephen W. Hines,3.99,1400307848,eng,113,108,11,10-05-2006 00:00,Tommy Nelson
2280,2280,8199,Writings to Young Women from Laura Ingalls Wilder: On Life as a Pioneer Woman (Writings to Young Women from Laura Ingalls Wilder #2),Laura Ingalls Wilder/Stephen W. Hines,3.92,1400307856,eng,116,94,10,10-05-2006 00:00,Tommy Nelson
2281,2281,8200,A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,Laura Ingalls Wilder,4.13,60724919,eng,352,686,52,07-02-2006 00:00,HarperCollins
2282,2282,8202,Laura Ingalls Wilder: A Biography,William   Anderson,4.2,60885521,eng,256,4144,98,02-01-2007 00:00,HarperCollins
2283,2283,8203,West from Home: Letters of Laura Ingalls Wilder  San Francisco  1915  (Little House #11),Laura Ingalls Wilder/Roger Lea MacBride/Margot Patterson Doss,3.84,64400816,eng,124,3926,119,20-10-1976 00:00,Harper & Row
2284,2284,8204,The Laura Ingalls Wilder Country Cookbook,Laura Ingalls Wilder/William   Anderson,4.09,64461963,eng,160,234,18,01-10-1997 00:00,HarperCollins Publishers
2285,2285,8205,Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family  Friends  and Neighbors (Writings to Young Women on Laura Ingalls Wilder #3),Laura Ingalls Wilder/Stephen W. Hines,3.98,1400307864,eng,128,41,2,08-05-2006 00:00,Thomas Nelson
2286,2286,8206,The Laughing Jesus: Religious Lies and Gnostic Wisdom,Tim Freke/Peter Gandy,3.96,140008279X,en-US,276,346,31,27-06-2006 00:00,Harmony
2287,2287,8213,The Erotic Phenomenon,Jean-Luc Marion/Stephen E. Lewis,4.03,226505367,eng,248,75,12,15-11-2006 00:00,University of Chicago Press
2288,2288,8214,The Phenomenon of Life: Toward a Philosophical Biology,Hans Jonas/Lawrence Vogel/Eleonore Jonas,4.24,810117495,eng,304,92,9,28-02-2001 00:00,Northwestern University Press
2289,2289,8218,Down to the Bonny Glen (Little House: The Martha Years  #3),Melissa Wiley/RenÌ©e Graef,4.15,64407144,eng,321,1480,39,08-05-2001 00:00,HarperTrophy
2290,2290,8221,Laura: The Life of Laura Ingalls Wilder,Donald Zochert,4.12,380016362,en-GB,241,5628,125,01-05-1977 00:00,Avon
2291,2291,8227,Winter Days in the Big Woods,Laura Ingalls Wilder/RenÌ©e Graef,4.28,64433730,eng,32,1538,59,15-09-1995 00:00,HarperCollins
2292,2292,8228,The First Four Years (Little House  #9),Laura Ingalls Wilder/Cherry Jones,3.89,60565098,eng,3,91,13,13-06-2006 00:00,HarperFestival
2293,2293,8230,Winter on the Farm,Laura Ingalls Wilder/RenÌ©e Graef/Jody Wheeler,4.15,006440692X,eng,32,424,25,06-09-1997 00:00,Winter on the Farm (My First Little House)
2294,2294,8233,Summertime in the Big Woods,Laura Ingalls Wilder/RenÌ©e Graef,4.18,64434974,eng,40,867,31,02-02-2000 00:00,HarperCollins
2295,2295,8244,Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,Cynthia Rylant/Jim LaMarche,4.05,64409902,eng,176,4799,88,01-06-2004 00:00,Harper Trophy
2296,2296,8246,Laura Ingalls Wilder's Fairy Poems,Laura Ingalls Wilder/Richard  Hull,3.99,385325339,eng,39,143,18,13-10-1998 00:00,Doubleday Books for Young Readers
2297,2297,8247,Constructing the Little House: Gender  Culture  and Laura Ingalls Wilder,Ann Romines,3.7,1558491228,eng,304,35,5,21-11-1997 00:00,University of Massachusetts Press
2298,2298,8249,These Happy Golden Years (Little House  #8),Laura Ingalls Wilder/Cherry Jones/Paul Woodiel,4.19,006056508X,eng,7,105,12,28-03-2006 00:00,HarperFestival
2299,2299,8252,Farmer Boy (Little House  #2),Laura Ingalls Wilder/Garth Williams,4.07,60885386,eng,357,45778,1286,01-01-2007 00:00,HarperTrophy
2300,2300,8253,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,4.19,60885432,eng,374,71853,646,01-01-2007 00:00,HarperTrophy
2301,2301,8254,Christmas Stories (Little House Chapter Books: Laura  #10),Laura Ingalls Wilder/RenÌ©e Graef/Heather Henson,4.21,64420817,eng,80,66,7,06-10-1999 00:00,HarperCollins
2302,2302,8255,My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,Carolyn Strom Collins/Christina Wyss Eriksson/Mary Collier,4.03,64462048,eng,64,59,6,21-03-1998 00:00,HarperCollins
2303,2303,8256,Christmas in the Big Woods,Laura Ingalls Wilder/RenÌ©e Graef,4.2,64434877,eng,32,2142,72,20-09-1997 00:00,HarperCollins
2304,2304,8282,The Long Winter (Little House  #6),Laura Ingalls Wilder/Garth Williams,4.14,60885424,eng,422,67427,1048,01-01-2007 00:00,HarperTrophy
2305,2305,8285,A Little House Birthday,Laura Ingalls Wilder/Doris Ettlinger,4.14,006443494X,eng,40,453,17,05-09-1998 00:00,HarperCollins
2306,2306,8290,The Deer in the Wood,Laura Ingalls Wilder/RenÌ©e Graef,4.17,64434982,eng,32,324,23,16-01-1999 00:00,HarperCollins
2307,2307,8296,The First Four Years  (Little House  #9),Laura Ingalls Wilder/Garth Williams,3.89,60885459,eng,126,28259,533,02-01-2007 00:00,HarperTrophy
2308,2308,8298,The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories,Barbara M. Walker/Garth Williams,4.15,64460908,eng,256,3375,91,07-09-1989 00:00,HarperCollins
2309,2309,8322,Little House on the Prairie (Little House  #3),Laura Ingalls Wilder/Garth Williams,4.19,60885394,eng,309,635,30,01-01-2007 00:00,HarperTrophy
2310,2310,8335,Let the Hurricane Roar,Rose Wilder Lane,3.96,64401588,en-US,118,192,32,01-10-1985 00:00,HarperTrophy
2311,2311,8337,Little House in the Big Woods (Little House  #1),Laura Ingalls Wilder/Garth Williams,4.18,60885378,eng,198,201840,3463,01-01-2007 00:00,HarperTrophy
2312,2312,8359,Flowers (Eyewitness Explorers),David Burnie,3.85,789422131,eng,64,8,2,15-09-1997 00:00,Dorling Kindersley Children
2313,2313,8362,Animal: The Definitive Visual Guide to the World's Wildlife,David Burnie/Don E. Wilson,4.51,756616344,eng,624,570,17,19-09-2005 00:00,DK
2314,2314,8370,The Making Of Disney's Animal Kingdom Theme Park,Melody Malmberg/Walt Disney Company,4.32,786864028,eng,192,34,2,01-05-1998 00:00,Disney Enterprises
2315,2315,8373,El Reino Animal,Sergio RamÌ_rez,3.69,9707705736,spa,256,16,4,01-07-2006 00:00,Alfaguara
2316,2316,8417,Tree (Eyewitness Books),David Burnie/Peter K. Chadwick,4.02,789458209,eng,64,5,0,14-06-2000 00:00,DK Children
2317,2317,8428,Insects & Spiders,David Burnie,4.5,783548818,eng,64,4,0,24-05-1999 00:00,Time Life Medical
2318,2318,8486,The Prophet of Yonwood,Jeanne DuPrau,3.27,375875263,eng,289,621,82,01-04-2006 00:00,Random House Books for Young Readers
2319,2319,8489,Muhammad: A Prophet for Our Time,Karen Armstrong,4.08,60598972,eng,256,1896,202,17-10-2006 00:00,Eminent Lives
2320,2320,8492,Prophet,Frank E. Peretti,3.94,1581345267,en-US,416,12789,221,11-03-2004 00:00,Crossway Books
2321,2321,8494,Access the Power of Your Higher Self: Your Source of Inner Guidance and Spiritual Transformation (Pocket Guides to Practical Spirituality),Elizabeth Clare Prophet,4.21,922729360,en-GB,100,55,6,21-09-2017 00:00,Summit University Press
2322,2322,8495,Hailstones and Halibut Bones,Mary O'Neill/John Wallner,4.31,385410786,en-US,64,125,22,01-04-1990 00:00,Doubleday Books for Young Readers
2323,2323,8499,The Second Sex,Simone de Beauvoir/H.M. Parshley/Margaret Crosland,4.12,1857151372,eng,848,47,6,18-03-1993 00:00,Everyman's Library
2324,2324,8500,The Second Sex,Simone de Beauvoir/H.M. Parshley,4.12,009974421X,eng,880,333,27,07-08-1997 00:00,Vintage Classics
2325,2325,8501,The Church and the Second Sex,Mary Daly,3.84,807011010,eng,231,129,7,03-01-1986 00:00,Beacon Press
2326,2326,8506,Thomas Jefferson (Oxford Portraits),R.B. Bernstein,4.01,195181301,eng,253,4245,133,15-09-2005 00:00,Oxford University Press  USA
2327,2327,8508,The Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,3.82,1557091846,eng,103,1038,100,01-08-2006 00:00,Applewood Books
2328,2328,8510,Who Was Thomas Jefferson?,Dennis Brindell Fradin/Nancy Harrison/John   O'Brien,4.07,448431459,eng,103,692,80,28-07-2003 00:00,Penguin Workshop
2329,2329,8515,The Man Who Listens to Horses,Monty Roberts/Lucy Grealy/Lawrence Scanlan,4.12,034542705X,en-US,352,9963,206,28-11-1998 00:00,Ballantine Books
2330,2330,8520,Under Orders (Sid Halley  #4),Dick Francis,3.87,399154000,eng,308,4119,252,01-10-2006 00:00,Putnam Publishing Group
